Datetime (Local Time),Water Level (m)
2019/09/18 00:00,2.7
2019/09/18 00:05,2.37
2019/09/18 00:10,2.33
2019/09/18 00:15,2.36
2019/09/18 00:20,2.27
2019/09/18 00:25,2.71
2019/09/18 00:30,2.12
2019/09/18 00:35,2.1
2019/09/18 00:40,2.4
2019/09/18 00:45,2.24
2019/09/18 00:50,2.58
2019/09/18 00:55,2.85
2019/09/18 01:00,3.07
2019/09/18 01:05,1.98
2019/09/18 01:10,2.4
2019/09/18 01:15,2.72
2019/09/18 01:20,1.95
2019/09/18 01:25,2.63
2019/09/18 01:30,2.86
2019/09/18 01:35,1.81
2019/09/18 01:40,2.37
2019/09/18 01:45,3.07
2019/09/18 01:50,1.93
2019/09/18 01:55,2.12
2019/09/18 02:00,2.93
2019/09/18 02:05,2.43
2019/09/18 02:10,2.17
2019/09/18 02:15,3.04
2019/09/18 02:20,2.9
2019/09/18 02:25,1.97
2019/09/18 02:30,2.26
2019/09/18 02:35,2.09
2019/09/18 02:40,2.71
2019/09/18 02:45,2.36
2019/09/18 02:50,2.84
2019/09/18 03:00,2.4
2019/09/18 03:05,2.56
2019/09/18 03:10,1.82
2019/09/18 03:15,2.64
2019/09/18 03:20,2.4
2019/09/18 03:25,2.19
2019/09/18 03:30,2.03
2019/09/18 03:35,2.65
2019/09/18 03:40,2.63
2019/09/18 03:45,1.86
2019/09/18 03:50,1.96
2019/09/18 04:00,2.05
2019/09/18 04:05,2.47
2019/09/18 04:10,2.57
2019/09/18 04:15,1.92
2019/09/18 04:20,2.74
2019/09/18 04:25,2.29
2019/09/18 04:30,2.11
2019/09/18 04:35,2.23
2019/09/18 04:40,2.57
2019/09/18 04:45,3.16
2019/09/18 04:50,2.04
2019/09/18 04:55,2.6
2019/09/18 05:00,2.43
2019/09/18 05:05,2.21
2019/09/18 05:10,1.77
2019/09/18 05:15,2.5
2019/09/18 05:20,1.98
2019/09/18 05:25,2.43
2019/09/18 05:30,2.85
2019/09/18 05:35,2.26
2019/09/18 05:40,2.64
2019/09/18 05:45,2.17
2019/09/18 05:50,2.06
2019/09/18 05:55,2.76
2019/09/18 06:00,2.66
2019/09/18 06:05,2.18
2019/09/18 06:10,2.49
2019/09/18 06:15,2.44
2019/09/18 06:20,2.52
2019/09/18 06:25,2.39
2019/09/18 06:30,2.33
2019/09/18 06:35,2.99
2019/09/18 06:40,1.76
2019/09/18 06:45,2.34
2019/09/18 06:50,2.37
2019/09/18 06:55,2.81
2019/09/18 07:00,2.78
2019/09/18 07:05,2.19
2019/09/18 07:10,2.4
2019/09/18 07:15,2.38
2019/09/18 07:20,2.37
2019/09/18 07:25,2.53
2019/09/18 07:30,2.49
2019/09/18 07:35,2.41
2019/09/18 07:40,2.43
2019/09/18 07:45,2.48
2019/09/18 07:50,2.61
2019/09/18 07:55,2.2
2019/09/18 08:00,2.54
2019/09/18 08:05,2.21
2019/09/18 08:10,2.61
2019/09/18 08:15,1.86
2019/09/18 08:20,2.67
2019/09/18 08:25,2.2
2019/09/18 08:30,2.3
2019/09/18 08:35,2.39
2019/09/18 08:40,2.63
2019/09/18 08:45,2.94
2019/09/18 08:50,2.73
2019/09/18 08:55,2.46
2019/09/18 09:00,2.64
2019/09/18 09:05,2.03
2019/09/18 09:10,2.85
2019/09/18 09:15,2.65
2019/09/18 09:20,2.23
2019/09/18 09:25,3.08
2019/09/18 09:30,2.07
2019/09/18 09:35,2.52
2019/09/18 09:40,2.66
2019/09/18 09:45,2.66
2019/09/18 09:50,3.29
2019/09/18 10:10,2.1
2019/09/18 10:15,2.64
2019/09/18 10:20,3.04
2019/09/18 10:25,2.13
2019/09/18 10:30,3.19
2019/09/18 10:35,2.96
2019/09/18 10:40,2.43
2019/09/18 10:45,2.55
2019/09/18 10:50,2.92
2019/09/18 10:55,2.93
2019/09/18 11:00,2.51
2019/09/18 11:05,2.83
2019/09/18 11:10,2.19
